STATUT	Order ID	Product	Quantity Ordered	Price	Order	Purchase Address
Sales_April_2019.csv	176559	Bose SoundSport Headphones	1	100	43562	Boston
Sales_April_2019.csv	176560	Google Phone	1	600	43567	Los Angeles
Sales_April_2019.csv	176560	Wired Headphones	1	12	43567	Los Angeles
Sales_April_2019.csv	176561	Wired Headphones	1	12	43585	Los Angeles
Sales_April_2019.csv	176562	USB-C Charging Cable	1	12	43584	San Francisco
Sales_April_2019.csv	176563	Bose SoundSport Headphones	1	100	43557	Seattle
Sales_April_2019.csv	176564	USB-C Charging Cable	1	12	43567	Atlanta
Sales_April_2019.csv	176565	Macbook Pro Laptop	1	1700	43579	San Francisco
Sales_April_2019.csv	176566	Wired Headphones	1	12	43563	Boston
Sales_April_2019.csv	176567	Google Phone	1	600	43573	Los Angeles
Sales_April_2019.csv	176568	Lightning Charging Cable	1	15	43570	Seattle
Sales_April_2019.csv	176569	27in 4K Gaming Monitor	1	390	43571	Dallas
Sales_April_2019.csv	176570	AA Batteries (4-pack)	1	4	43577	Dallas
Sales_April_2019.csv	176571	Lightning Charging Cable	1	15	43574	Atlanta
Sales_April_2019.csv	176572	Apple Airpods Headphones	1	150	43559	New York City
Sales_April_2019.csv	176573	USB-C Charging Cable	1	12	43582	San Francisco
Sales_April_2019.csv	176574	Google Phone	1	600	43558	Los Angeles
Sales_April_2019.csv	176574	USB-C Charging Cable	1	12	43558	Los Angeles
Sales_April_2019.csv	176575	AAA Batteries (4-pack)	1	3	43582	New York City
Sales_April_2019.csv	176576	Apple Airpods Headphones	1	150	43583	Los Angeles
Sales_April_2019.csv	176577	Apple Airpods Headphones	1	150	43559	Dallas
Sales_April_2019.csv	176578	Apple Airpods Headphones	1	150	43564	Boston
Sales_April_2019.csv	176579	AA Batteries (4-pack)	1	4	43566	New York City
Sales_April_2019.csv	176580	USB-C Charging Cable	1	12	43560	Los Angeles
Sales_April_2019.csv	176581	iPhone	1	700	43564	Boston
Sales_April_2019.csv	176582	Bose SoundSport Headphones	1	100	43582	Atlanta
Sales_April_2019.csv	176583	AAA Batteries (4-pack)	2	3	43575	Portland
Sales_April_2019.csv	176584	Flatscreen TV	1	300	43579	San Francisco
Sales_April_2019.csv	176585	Bose SoundSport Headphones	1	100	43562	Boston
Sales_April_2019.csv	176585	Bose SoundSport Headphones	1	100	43562	Boston
Sales_April_2019.csv	176586	AAA Batteries (4-pack)	2	3	43565	San Francisco
Sales_April_2019.csv	176586	Google Phone	1	600	43565	San Francisco
Sales_April_2019.csv	176587	27in FHD Monitor	1	150	43584	Los Angeles
Sales_April_2019.csv	176588	20in Monitor	1	110	43557	Seattle
Sales_April_2019.csv	176589	Lightning Charging Cable	1	15	43559	Atlanta
Sales_April_2019.csv	176590	Google Phone	1	600	43566	New York City
Sales_April_2019.csv	176591	Apple Airpods Headphones	1	150	43576	Austin
Sales_April_2019.csv	176592	USB-C Charging Cable	1	12	43582	Los Angeles
Sales_April_2019.csv	176593	Lightning Charging Cable	2	15	43570	Portland
Sales_April_2019.csv	176594	Wired Headphones	1	12	43572	San Francisco
Sales_April_2019.csv	176595	Wired Headphones	3	12	43557	Los Angeles
Sales_April_2019.csv	176596	Apple Airpods Headphones	1	150	43582	Dallas
Sales_April_2019.csv	176597	USB-C Charging Cable	1	12	43574	San Francisco
Sales_April_2019.csv	176598	AAA Batteries (4-pack)	2	3	43576	San Francisco
Sales_April_2019.csv	176599	Lightning Charging Cable	1	15	43566	New York City
Sales_April_2019.csv	176600	27in 4K Gaming Monitor	1	390	43585	Boston
Sales_April_2019.csv	176601	USB-C Charging Cable	1	12	43557	Los Angeles
Sales_April_2019.csv	176602	Lightning Charging Cable	1	15	43585	Dallas
Sales_April_2019.csv	176603	USB-C Charging Cable	1	12	43556	San Francisco
Sales_April_2019.csv	176604	USB-C Charging Cable	1	12	43557	San Francisco
Sales_April_2019.csv	176605	USB-C Charging Cable	1	12	43570	San Francisco
Sales_April_2019.csv	176606	LG Dryer	1	600	43576	San Francisco
Sales_April_2019.csv	176607	AAA Batteries (4-pack)	2	3	43573	Boston
Sales_April_2019.csv	176608	iPhone	1	700	43566	San Francisco
Sales_April_2019.csv	176609	Apple Airpods Headphones	1	150	43566	Austin
Sales_April_2019.csv	176610	AAA Batteries (4-pack)	1	3	43581	Dallas
Sales_April_2019.csv	176611	Bose SoundSport Headphones	1	100	43585	San Francisco
Sales_April_2019.csv	176612	Apple Airpods Headphones	1	150	43559	Seattle
Sales_April_2019.csv	176613	USB-C Charging Cable	2	12	43581	New York City
Sales_April_2019.csv	176614	AA Batteries (4-pack)	1	4	43562	San Francisco
Sales_April_2019.csv	176615	Lightning Charging Cable	1	15	43585	Dallas
Sales_April_2019.csv	176616	USB-C Charging Cable	1	12	43560	San Francisco
Sales_April_2019.csv	176617	Apple Airpods Headphones	1	150	43580	Portland
Sales_April_2019.csv	176618	Lightning Charging Cable	2	15	43573	San Francisco
Sales_April_2019.csv	176619	Flatscreen TV	1	300	43571	Los Angeles
Sales_April_2019.csv	176620	USB-C Charging Cable	1	12	43572	Los Angeles
Sales_April_2019.csv	176621	Lightning Charging Cable	1	15	43566	Boston
Sales_April_2019.csv	176622	AA Batteries (4-pack)	1	4	43566	San Francisco
Sales_April_2019.csv	176623	27in FHD Monitor	1	150	43575	Atlanta
Sales_April_2019.csv	176624	AA Batteries (4-pack)	1	4	43583	Seattle
Sales_April_2019.csv	176625	AAA Batteries (4-pack)	2	3	43579	San Francisco
Sales_April_2019.csv	176626	Bose SoundSport Headphones	1	100	43556	Boston
Sales_April_2019.csv	176627	Wired Headphones	1	12	43576	Atlanta
Sales_April_2019.csv	176628	Lightning Charging Cable	2	15	43570	Dallas
Sales_April_2019.csv	176629	USB-C Charging Cable	1	12	43579	San Francisco
Sales_April_2019.csv	176630	Google Phone	1	600	43565	San Francisco
Sales_April_2019.csv	176631	USB-C Charging Cable	1	12	43568	San Francisco
Sales_April_2019.csv	176632	AAA Batteries (4-pack)	1	3	43569	San Francisco
Sales_April_2019.csv	176633	ThinkPad Laptop	1	1000	43578	Los Angeles
Sales_April_2019.csv	176634	Lightning Charging Cable	1	15	43565	Atlanta
Sales_April_2019.csv	176635	Vareebadd Phone	1	400	43581	San Francisco
Sales_April_2019.csv	176636	AA Batteries (4-pack)	1	4	43585	Boston
Sales_April_2019.csv	176637	AAA Batteries (4-pack)	1	3	43572	New York City
Sales_April_2019.csv	176638	USB-C Charging Cable	1	12	43575	Boston
Sales_April_2019.csv	176639	Macbook Pro Laptop	1	1700	43583	San Francisco
Sales_April_2019.csv	176640	Wired Headphones	2	12	43582	San Francisco
Sales_April_2019.csv	176641	Lightning Charging Cable	1	15	43580	Boston
Sales_April_2019.csv	176642	AA Batteries (4-pack)	1	4	43572	Portland
Sales_April_2019.csv	176643	Macbook Pro Laptop	1	1700	43582	Boston
Sales_April_2019.csv	176644	USB-C Charging Cable	1	12	43578	Los Angeles
Sales_April_2019.csv	176645	AAA Batteries (4-pack)	3	3	43581	Dallas
Sales_April_2019.csv	176646	Macbook Pro Laptop	1	1700	43577	Portland
Sales_April_2019.csv	176647	Google Phone	1	600	43576	Los Angeles
Sales_April_2019.csv	176648	27in FHD Monitor	1	150	43579	Portland
Sales_April_2019.csv	176649	USB-C Charging Cable	1	12	43564	San Francisco
Sales_April_2019.csv	176650	Lightning Charging Cable	1	15	43567	Boston
Sales_April_2019.csv	176651	iPhone	1	700	43562	Boston
Sales_April_2019.csv	176652	LG Washing Machine	1	600	43564	New York City
Sales_April_2019.csv	176653	AA Batteries (4-pack)	1	4	43581	San Francisco
Sales_April_2019.csv	176654	USB-C Charging Cable	1	12	43570	Seattle
Sales_April_2019.csv	176655	Apple Airpods Headphones	1	150	43566	San Francisco
Sales_April_2019.csv	176656	Google Phone	1	600	43567	New York City
Sales_April_2019.csv	176657	ThinkPad Laptop	1	1000	43578	Los Angeles
Sales_April_2019.csv	176658	AAA Batteries (4-pack)	2	3	43577	San Francisco
Sales_April_2019.csv	176659	20in Monitor	1	110	43584	Dallas
Sales_April_2019.csv	176660	AA Batteries (4-pack)	1	4	43571	Boston
Sales_April_2019.csv	176661	Wired Headphones	1	12	43580	Atlanta
Sales_April_2019.csv	176662	34in Ultrawide Monitor	1	380	43560	Portland
Sales_April_2019.csv	176663	Bose SoundSport Headphones	1	100	43560	Seattle
Sales_April_2019.csv	176664	AAA Batteries (4-pack)	1	3	43568	Los Angeles
Sales_April_2019.csv	176665	ThinkPad Laptop	1	1000	43562	Dallas
Sales_April_2019.csv	176666	Wired Headphones	1	12	43563	Seattle
Sales_April_2019.csv	176667	27in 4K Gaming Monitor	1	390	43566	Los Angeles
Sales_April_2019.csv	176668	AA Batteries (4-pack)	1	4	43570	Dallas
Sales_April_2019.csv	176669	27in FHD Monitor	1	150	43563	Dallas
Sales_April_2019.csv	176670	Apple Airpods Headphones	1	150	43580	San Francisco
Sales_April_2019.csv	176671	AAA Batteries (4-pack)	2	3	43578	New York City
Sales_April_2019.csv	176672	Lightning Charging Cable	1	15	43567	New York City
Sales_April_2019.csv	176672	USB-C Charging Cable	1	12	43567	New York City
Sales_April_2019.csv	176673	20in Monitor	1	110	43565	Boston
Sales_April_2019.csv	176674	AAA Batteries (4-pack)	3	3	43575	Austin
Sales_April_2019.csv	176675	AAA Batteries (4-pack)	1	3	43557	Seattle
Sales_April_2019.csv	176676	LG Dryer	1	600	43564	Los Angeles
Sales_April_2019.csv	176677	34in Ultrawide Monitor	1	380	43556	Austin
Sales_April_2019.csv	176678	AA Batteries (4-pack)	2	4	43574	San Francisco
Sales_April_2019.csv	176679	Apple Airpods Headphones	1	150	43571	Boston
Sales_April_2019.csv	176680	USB-C Charging Cable	1	12	43568	Los Angeles
Sales_April_2019.csv	176681	Apple Airpods Headphones	1	150	43575	Seattle
Sales_April_2019.csv	176681	ThinkPad Laptop	1	1000	43575	Seattle
Sales_April_2019.csv	176682	Lightning Charging Cable	1	15	43582	Boston
Sales_April_2019.csv	176683	AA Batteries (4-pack)	1	4	43558	Los Angeles
Sales_April_2019.csv	176684	USB-C Charging Cable	1	12	43572	Los Angeles
Sales_April_2019.csv	176685	34in Ultrawide Monitor	1	380	43578	New York City
Sales_April_2019.csv	176686	Wired Headphones	1	12	43572	Austin
Sales_April_2019.csv	176687	Macbook Pro Laptop	1	1700	43585	Los Angeles
Sales_April_2019.csv	176688	Flatscreen TV	1	300	43575	San Francisco
Sales_April_2019.csv	176689	Bose SoundSport Headphones	1	100	43579	New York City
Sales_April_2019.csv	176689	AAA Batteries (4-pack)	2	3	43579	New York City
Sales_April_2019.csv	176690	20in Monitor	1	110	43559	San Francisco
Sales_April_2019.csv	176691	AAA Batteries (4-pack)	1	3	43567	Los Angeles
Sales_April_2019.csv	176692	Wired Headphones	1	12	43563	San Francisco
Sales_April_2019.csv	176693	AA Batteries (4-pack)	1	4	43577	San Francisco
Sales_April_2019.csv	176694	USB-C Charging Cable	1	12	43560	Atlanta
Sales_April_2019.csv	176695	AA Batteries (4-pack)	2	4	43567	Seattle
Sales_April_2019.csv	176696	iPhone	1	700	43562	New York City
Sales_April_2019.csv	176697	Wired Headphones	1	12	43575	New York City
Sales_April_2019.csv	176698	Bose SoundSport Headphones	1	100	43557	San Francisco
Sales_April_2019.csv	176699	Bose SoundSport Headphones	1	100	43583	Boston
